,school,accept_rate,pct25,pct75
291,Eastern Michigan,74.1,970,1190
292,University of Washington--Bothell,74.1,1038,1250
293,Adelphi University,74.2,1080,1270
294,Baldwin Wallace University,74.2,1030,1250
295,Michigan Technological University,74.3,1170,1370
296,Drexel University,74.7,1190,1390
297,University of Redlands,75.0,1100,1250
298,Loyola University New Orleans,75.0,1050,1260
299,California State University--Monterey Bay,75.3,960,1170
300,Whittier College,75.9,1030,1213
301,Kalamazoo College,76.0,1170,1370
302,Towson University,76.3,1060,1220
303,Centre College,76.4,1130,1380
304,University of Texas San Antonio,76.6,1030,1220
306,James Madison University,76.8,1120,1290
307,Appalachian State University,76.8,1100,1270
308,Indiana University—​Bloomington,76.9,1150,1360
309,High Point University,76.9,1090,1250
310,Virginia Commonwealth University,77.1,1070,1260
311,University of Arkansas—​Fayetteville,77.1,1120,1300
312,John Brown University,77.1,1060,1365
313,University of Idaho,77.8,1010,1240
314,University of Missouri,77.8,1090,1290
315,Willamette University,77.9,1140,1340
316,University of Nebraska—​Lincoln,78.2,1120,1360
317,Carroll College,78.3,1070,1270
318,College of Charleston,78.3,1080,1260
319,University of Colorado—​Boulder,78.4,1140,1350
320,Elon University,78.4,1160,1320
321,Seattle University,78.5,1160,1330
322,University of Texas—​Dallas,78.6,1240,1460
323,East Carolina,78.7,1030,1190
324,University of Tennessee,78.8,1150,1330
325,University of Texas Arlington,79.5,1060,1260
326,Pacific Lutheran University,79.8,1070,1270
327,Western Michigan,79.9,1000,1210
328,Loyola University Maryland,80.2,1143,1320
329,Miami University—​Oxford,80.4,1210,1410
330,Goucher College,80.4,1040,1290
331,University of Oklahoma,80.4,1130,1310
332,Auburn University,80.7,1150,1320
333,University of Nevada—​Las Vegas,80.7,1030,1250
334,Boise State,80.8,960,1180
335,St. Mary's College of California,81.0,1070,1240
336,Siena College,81.1,1070,1280
337,University of North Dakota,81.1,1010,1250
338,Texas State University,81.1,1010,1180
339,Colorado State University,81.4,1070,1290
340,University of Memphis,81.4,1010,1230
341,West Virginia University,81.6,1050,1240
342,University of Oregon,81.6,1100,1310
343,University of St. Thomas (MN),81.9,1130,1380
344,St. Mary's College (IN),81.9,1050,1260
345,Illinois State,81.9,1020,1220
346,Ohio University,82.1,1050,1260
347,California State University--Sacramento,82.3,940,1140
348,University of North Carolina—​Greensboro,82.4,1000,1160
349,University of Iowa,82.6,1130,1340
350,St. Michael's College,82.6,1140,1320
351,University of Alaska Anchorage,83.0,1020,1220
352,Marquette University,83.0,1120,1320
353,College of St. Benedict,83.4,990,1210
354,Oregon State University,83.6,1080,1320
355,The Catholic University of America,83.7,1140,1320
356,University of Puget Sound,83.8,1150,1370
357,University of New Hampshire,84.0,1070,1270
358,Missouri University of Science & Technology,84.2,1180,1380
359,St. Mary's College of Maryland,84.3,1060,1290
360,University of Arizona,84.6,1120,1350
361,Susquehanna University,84.8,1100,1290
362,Arizona State University—​Tempe,84.8,1130,1360
363,Wheaton College (IL),84.8,1220,1440
364,Northern Arizona,85.0,1030,1230
365,Washington and Jefferson College,85.2,1090,1280
366,Kent State,85.5,1040,1230
367,Mills College,85.5,1008,1240
368,Hope College,85.7,1130,1330
369,Valparaiso University,85.8,1070,1290
370,George Mason University,86.7,1110,1320
371,Old Dominion,87.0,990,1200
372,Missouri State,87.9,1040,1240
373,University of Wisconsin Milwaukee,88.5,1000,1398
374,Transylvania University,88.7,1100,1310
376,University of Maine,90.2,1050,1260
377,Humboldt State University,90.9,980,1190
378,Utah State,91.0,1050,1310
379,Iowa State University,92.1,1100,1340
380,Washington College,92.4,1090,1300
381,University of Montana,92.6,1060,1270
382,Samford University,92.9,1070,1250
384,University of Kentucky,94.5,1080,1300
385,University of Toledo,95.1,1000,1240
387,Portland State,96.1,1010,1230
388,Queens University of Charlotte,96.2,1040,1240
389,Western Kentucky,97.3,990,1220
390,United States Naval Academy,8.3,1240,1520
391,United States Military Academy,10.3,1160,1380
392,United States Air Force Academy,11.1,1230,1440
393,United States Coast Guard Academy,12.8,1245,1420
394,United States Merchant Maritime Academy,24.8,1200,1340
395,Howard University,31.6,1140,1285
396,Florida State University,36.0,1200,1340
397,Hillsdale College,36.0,1275,1465
398,University of Central Florida,38.2,1160,1340
399,University of Florida,38.8,1280,1440
400,University of South Florida,47.7,1170,1330
401,Gallaudet University,57.1,793,1078
402,Florida International,57.5,1240,1300
403,Morehouse College,57.9,1010,1210
404,University of Alabama,59.1,1060,1280
406,Florida Institute of Technology,65.7,1150,1360
407,Louisiana State University—​Baton Rouge,74.6,1080,1310
408,The Citadel,74.7,1050,1230
409,New College of Florida,76.8,1220,1420
410,Thomas Aquinas College,77.7,1220,1400
411,University of Texas Rio Grande Valley,79.8,950,1130
412,University of South Dakota,86.4,990,1180
413,University of Mississippi,88.1,1050,1270
414,University of Wyoming,96.0,1060,1280
415,University of Texas El Paso,99.9,820,1050
